cusip,name,issuedate,coupon,maturity,settledate,tradedate,par,price_sale,yield_sale,price_purch,yield_purch,price_inter,yield_inter,tradetime,whenis
882716UK7,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2003,,12JAN1996,100000,,,,,113.2420,,,0         
882716UK7,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2003,,16NOV1995,320000,,,,,112.7290,,,0         
882716UK7,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2003,,16NOV1995,320000,,,,,112.8540,,,0         
882716UK7,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2003,,28NOV1995,120000,,,,,112.6510,,,0         
882716UK7,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2003,,28NOV1995,120000,,,,,112.7760,,,0         
882716UL5,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2003,,20OCT1995,240000,,,,,102.0370,,,0         
882716UL5,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2003,,20OCT1995,240000,,,,,102.1370,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,01FEB1995,15000,,,,,109.0000,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,05SEP1995,30000,,,,,112.9620,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,05SEP1995,30000,,,,,113.4620,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,26SEP1995,110000,,,,,112.8100,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,26SEP1995,110000,,,,,112.9100,,,0         
882716UM3,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2004,,26SEP1995,110000,,,,,113.2360,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,22SEP1995,250000,,,,,102.4510,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,22SEP1995,250000,,,,,102.5510,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,24FEB1995,195000,,,,,103.6500,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,24FEB1995,195000,,,,,103.7500,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,24JAN1995,80000,,,,,102.8010,,,0         
882716UN1,TEXAS STUNREFUNDED BALANCE,01DEC1985,8.0000,01DEC2004,,24JAN1995,80000,,,,,103.0500,,,0         
882716UP6,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2005,,07JUL1995,2425000,,,,,114.4250,,,0         
882716UP6,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2005,,07JUL1995,2425000,,,,,114.4750,,,0         
882716UP6,TEXAS STPREREFUNDED,01DEC1985,8.0000,01DEC2005,,12JUL1995,2225000,,,,,114.6330,,,0         
882716UR2,TEXAS STPREREFUNDED,01DEC1985,8.2500,01DEC2010,,05MAY1995,915000,,,,,113.4860,,,0         
